mu,seed,cell_id,n,k
0.2,19,4,804,775
0.2,19,5,191,131
0.2,19,6,818,493
0.2,19,7,201,92
0.2,19,8,785,595
0.2,19,9,200,119
0.2,19,10,829,752
0.2,19,11,204,167
0.2,20,0,796,514
0.2,20,1,191,89
0.2,20,2,829,715
0.2,20,3,178,104
0.2,20,4,828,806
0.2,20,5,175,131
0.2,20,6,818,504
0.2,20,7,180,83
0.2,20,8,794,610
0.2,20,9,212,146
0.2,20,10,796,723
0.2,20,11,203,155
0.2,21,0,777,523
0.2,21,1,188,89
0.2,21,2,800,652
0.2,21,3,216,138
0.2,21,4,748,729
0.2,21,5,194,145
0.2,21,6,830,495
0.2,21,7,208,94
0.2,21,8,758,585
0.2,21,9,214,137
0.2,21,10,837,763
0.2,21,11,230,188
0.2,22,0,817,573
0.2,22,1,186,74
0.2,22,2,780,628
0.2,22,3,188,111
0.2,22,4,848,821
0.2,22,5,209,162
0.2,22,6,767,438
0.2,22,7,214,114
0.2,22,8,778,593
0.2,22,9,213,120
0.2,22,10,810,731
0.2,22,11,190,147
0.2,23,0,817,549
0.2,23,1,201,94
0.2,23,2,800,644
0.2,23,3,202,119
0.2,23,4,823,795
0.2,23,5,205,147
0.2,23,6,769,490
0.2,23,7,200,98
0.2,23,8,796,594
0.2,23,9,203,123
0.2,23,10,802,733
0.2,23,11,182,144
0.2,24,0,803,550
0.2,24,1,210,95
0.2,24,2,809,687
0.2,24,3,216,129
0.2,24,4,822,800
0.2,24,5,201,143
0.2,24,6,769,464
0.2,24,7,208,109
0.2,24,8,805,607
0.2,24,9,183,123
0.2,24,10,794,713
0.2,24,11,180,136
0.2,25,0,812,522
0.2,25,1,198,87
0.2,25,2,788,654
0.2,25,3,227,133
0.2,25,4,792,772
0.2,25,5,192,146
0.2,25,6,780,450
0.2,25,7,205,110
0.2,25,8,801,615
0.2,25,9,211,133
0.2,25,10,791,703
0.2,25,11,203,163
0.2,26,0,824,570
0.2,26,1,184,73
0.2,26,2,790,640
0.2,26,3,176,108
0.2,26,4,836,809
0.2,26,5,211,166
0.2,26,6,737,459
0.2,26,7,205,108
0.2,26,8,811,614
0.2,26,9,195,118
0.2,26,10,838,766
0.2,26,11,193,149
0.2,27,0,835,548
0.2,27,1,195,80
0.2,27,2,785,645
0.2,27,3,187,121
0.2,27,4,819,796
0.2,27,5,201,135
0.2,27,6,760,461
0.2,27,7,193,88
0.2,27,8,777,637
0.2,27,9,217,140
0.2,27,10,804,724
0.2,27,11,227,178
0.2,28,0,770,505
0.2,28,1,194,96
0.2,28,2,803,663
0.2,28,3,193,115
0.2,28,4,801,770
0.2,28,5,236,160
0.2,28,6,788,463
0.2,28,7,226,118
0.2,28,8,789,590
0.2,28,9,194,118
0.2,28,10,820,749
0.2,28,11,186,157
0.2,29,0,777,519
0.2,29,1,215,94
0.2,29,2,810,668
0.2,29,3,205,119
0.2,29,4,787,771
0.2,29,5,227,159
0.2,29,6,828,484
0.2,29,7,207,106
0.2,29,8,736,550
0.2,29,9,213,132
0.2,29,10,787,724
0.2,29,11,208,163
0.2,30,0,795,519
0.2,30,1,188,68
0.2,30,2,820,672
0.2,30,3,200,117
0.2,30,4,784,761
0.2,30,5,223,160
0.2,30,6,792,475
0.2,30,7,205,90
0.2,30,8,789,612
0.2,30,9,191,135
0.2,30,10,831,765
0.2,30,11,182,146
0.2,31,0,834,540
0.2,31,1,181,85
0.2,31,2,845,691
0.2,31,3,195,112
0.2,31,4,855,831
0.2,31,5,192,149
0.2,31,6,811,518
0.2,31,7,203,104
0.2,31,8,757,568
0.2,31,9,168,111
0.2,31,10,789,717
0.2,31,11,170,134
0.2,32,0,781,518
0.2,32,1,207,88
0.2,32,2,801,657
0.2,32,3,229,144
0.2,32,4,791,765
0.2,32,5,200,139
0.2,32,6,798,508
0.2,32,7,212,102
0.2,32,8,784,598
0.2,32,9,200,112
0.2,32,10,809,720
0.2,32,11,188,148
0.2,33,0,803,571
0.2,33,1,223,98
0.2,33,2,820,681
0.2,33,3,192,108
0.2,33,4,807,782
0.2,33,5,193,135
0.2,33,6,753,428
0.2,33,7,205,98
0.2,33,8,815,624
0.2,33,9,212,142
0.2,33,10,813,730
0.2,33,11,164,137
0.2,34,0,754,483
0.2,34,1,194,85
0.2,34,2,802,643
0.2,34,3,198,115
0.2,34,4,777,763
0.2,34,5,229,161
0.2,34,6,793,466
0.2,34,7,200,88
0.2,34,8,835,637
0.2,34,9,196,126
0.2,34,10,839,767
0.2,34,11,183,143
0.2,35,0,801,525
0.2,35,1,172,86
0.2,35,2,811,659
0.2,35,3,195,110
0.2,35,4,796,778
0.2,35,5,235,162
0.2,35,6,795,490
0.2,35,7,185,100
0.2,35,8,836,627
0.2,35,9,179,119
0.2,35,10,788,716
0.2,35,11,207,166
0.2,36,0,792,542
0.2,36,1,222,83
0.2,36,2,820,668
0.2,36,3,197,111
0.2,36,4,804,780
0.2,36,5,200,139
0.2,36,6,789,457
0.2,36,7,199,105
0.2,36,8,782,595
0.2,36,9,191,131
0.2,36,10,779,707
0.2,36,11,225,175
0.2,37,0,817,535
0.2,37,1,184,88
0.2,37,2,800,660
0.2,37,3,204,109
0.2,37,4,810,789
0.2,37,5,188,135
0.2,37,6,784,485
0.2,37,7,196,85
0.2,37,8,810,619
0.2,37,9,192,118
0.2,37,10,814,742
0.2,37,11,201,161
0.2,38,0,823,562
0.2,38,1,190,87
0.2,38,2,845,690
0.2,38,3,208,122
0.2,38,4,794,776
0.2,38,5,200,138
0.2,38,6,786,448
0.2,38,7,201,100
0.2,38,8,757,558
0.2,38,9,204,124
0.2,38,10,816,739
0.2,38,11,176,136
0.2,39,0,809,546
0.2,39,1,197,84
0.2,39,2,800,675
0.2,39,3,199,119
0.2,39,4,848,832
0.2,39,5,199,149
0.2,39,6,778,463
0.2,39,7,195,89
0.2,39,8,775,626
0.2,39,9,213,145
0.2,39,10,790,716
0.2,39,11,197,152
0.2,40,0,852,564
0.2,40,1,209,82
0.2,40,2,796,649
0.2,40,3,199,112
0.2,40,4,833,812
0.2,40,5,188,133
0.2,40,6,755,468
0.2,40,7,201,93
0.2,40,8,779,578
