method,ece_mean,ece_sd,excess_brier_mean,excess_brier_sd,regret_mean,regret_sd
Raw,0.08297168186233206,0.0,0.015750934073895908,3.478153231519548e-18,0.011333333333333338,1.739076615759774e-18
Global,0.10734078061139664,0.005653253099414461,0.02018552720821547,0.0011931575885439547,0.018500000000000006,0.012444180223724507
Regime,0.10735828586724475,0.005641283169463745,0.01875488370655769,0.0012696441942680044,0.01190666666666667,0.004023404449126475
Weighted global,0.04365256317737339,0.008693153714025835,0.00851727845760686,0.00021775049574319824,0.012346666666666662,0.0017644165690521459
Weighted regime,0.015429770907347819,0.006354085101170878,0.006221537762383576,0.00030692060665235365,0.00895333333333333,0.0018285043758145569
Context cells,0.018281632448485918,0.006585815895599079,0.000856495338642186,0.00047752282059984396,0.000636666666666667,0.0011445937790498623
